Function,Type,Description,Syntax
ROLLUPISSUBTOTAL,Table Manipulation,Associates the accumulation groups with the column that adds rollupaddissubtotal in an expression Addmsingitems.,"ROLLUPGROUP ( <groupBy_columnName> [, <groupBy_columnName> [, … ] ] )"
ROLLUPGROUP,Table Manipulation,Modifies the behavior of Summarize and Summarizecolumns by incorporating accumulation rows into the columns that defines the groupby_columnname parameter.,"ROLLUPISSUBTOTAL ( [<grandTotalFilter>], <groupBy_columnName>, <isSubtotal_columnName> [, [<groupLevelFilter>] [, <groupBy_columnName>, <isSubtotal_columnName> [, [<groupLevelFilter>] [, … ] ] ] ] )"
ROW,Table Manipulation,Returns a table with a single row that contains the values ​​resulting from the expressions provided to each column.,"ROW(<name>, <expression>[[,<name>, <expression>]…])"
SELECTCOLUMNS,Table Manipulation,Add calculated columns to the given table or expression.,"SELECTCOLUMNS(<Table>, [<Name>], <Expression>, [<Name>], …)"
SUBSTITUTEWITHINDEX,Table Manipulation,Returns a table that represents a left semicombination of the two tables provided as arguments.,"SUBSTITUTEWITHINDEX(<table>, <indexColumnName>, <indexColumnsTable>, [<orderBy_expression>, [<order>][, <orderBy_expression>, [<order>]]…])"
SUMMARIZE,Table Manipulation,Returns a summary table of the totals requested in a group of groups.,"SUMMARIZE (<table>, <groupBy_columnName>[, <groupBy_columnName>]…[, <name>, <expression>]…)"
SUMMARIZECOLUMNS,Table Manipulation,Returns a summary table on a group of groups.,"SUMMARIZECOLUMNS( <groupBy_columnName> [, < groupBy_columnName >]…, [<filterTable>]…[, <name>, <expression>]…)"
Table constructor,Table Manipulation,Returns a table of one or several columns.,"{ <scalarExpr1>, <scalarExpr2>, … } 
{ ( <scalarExpr1>, <scalarExpr2>, … ), ( <scalarExpr1>, <scalarExpr2>, … ), … }"
TOPN,Table Manipulation,Returns the upper rows of the specified table.,"TOPN(<N_Value>, <Table>, <OrderBy_Expression>, [<Order>[, <OrderBy_Expression>, [<Order>]]…])"
TREATAS,Table Manipulation,Apply the result of a table expression as filters to the columns of an unrelated table.,"TREATAS(table_expression, <column>[, <column>[, <column>[,…]]]} )"
UNION,Table Manipulation,Create a union table (combination) from a couple of tables.,"UNION(<table_expression1>, <table_expression2> [,<table_expression>]…)"
VALUES,Table Manipulation,Returns a table of a column that contains the different values ​​of the specified table or column.,VALUES(<TableNameOrColumnName>)
COMBINEVALUES,Text,Combine two or more text chains in one.,
CONCATENATE,Text,Combine two text chains in one.,
CONCATENATEX,Text,Concatena the result of an expression evaluated for each row of a table.,
EXACT,Text,"Compare two text chains and return True if they are exactly the same, or false otherwise.",
FIND,Text,Returns the first position of a text chain in another.,
FIXED,Text,It rounds a number to the specified number of decimals and returns the result as text.,
FORMAT,Text,Converts a text value according to the specified format.,
LEFT,Text,Returns the number of characters specified from the beginning of a text chain.,
LEN,Text,Returns the number of characters in a text chain.,
LOWER,Text,Convert all the letters from a text chain to lowercase.,
MID,Text,Returns a character string of half of a text chain from an initial position and a length.,
REPLACE,Text,"Replace replaces the part of a text chain, according to the number of characters specified, by another text chain.",
REPT,Text,Repeat the text a certain number of times.,
RIGHT,Text,"Returns the last character or characters of a text chain, depending on the number of characters that you specify.",
SEARCH,Text,"Returns the number of the character in which a specific character or text chain is found for the first time, from left to right.",
SUBSTITUTE,Text,Replaces existing text by a new one in a text chain.,
TRIM,Text,"Remove all the spaces of the text, except the individual spaces between words.",
UNICHAR,Text,Returns the unicode character to which the numerical value refers.,
UNICODE,Text,Returns the numerical code that corresponds to the first character of the text chain.,
UPPER,Text,Convert a text chain to capital letters.,
VALUE,Text,A text chain that represents a number becomes a number.,
CLOSINGBALANCEMONTH,Time Intelligence,Evaluate the expression value on the last date of the month in the current context.,"CLOSINGBALANCEMONTH(<expression>,<dates>[,<filter>])"
CLOSINGBALANCEQUARTER,Time Intelligence,Evaluate the expression value on the last date of the quarter in the current context.,"CLOSINGBALANCEQUARTER(<expression>,<dates>[,<filter>])"
CLOSINGBALANCEYEAR,Time Intelligence,Evaluate the expression value on the last date of the year in the current context.,"CLOSINGBALANCEYEAR(<expression>,<dates>[,<filter>][,<year_end_date>])"
DATEADD,Time Intelligence,"Returns a table that contains a column of dates, displaced forward or backward over time, by the specified number of intervals from the current context dates.","DATEADD(<dates>,<number_of_intervals>,<interval>)"
DATESBETWEEN,Time Intelligence,Returns a table that contains a column of dates that begins with a specified start date and continues to a specified end date.,"DATESBETWEEN(<Dates>, <StartDate>, <EndDate>)"
DATESINPERIOD,Time Intelligence,Returns a table that contains a column of dates that starts by a specific start date and follows up to the number and type of specified dates intervals.,"DATESINPERIOD(<dates>, <start_date>, <number_of_intervals>, <interval>)"
DATESMTD,Time Intelligence,"Returns a table that contains a column with the dates of the month to date, in the current context.",DATESMTD(<dates>)
DATESQTD,Time Intelligence,"Returns a table that contains a column with the trimester dates to date, in the current context.",DATESQTD(<dates>)
DATESYTD,Time Intelligence,"Returns a table that contains a column with the dates of the year to date, in the current context.","DATESYTD(<dates> [,<year_end_date>])"
ENDOFMONTH,Time Intelligence,Returns the last date of the month of the current context for the specified dates column.,ENDOFMONTH(<dates>)
ENDOFQUARTER,Time Intelligence,Returns the last date of the trimester of the current context for the specified dates column.,ENDOFQUARTER(<dates>)
ENDOFYEAR,Time Intelligence,Returns the last date of the current context for the specified dates column.,"ENDOFYEAR(<dates> [,<year_end_date>])"
FIRSTDATE,Time Intelligence,Returns the first date of the current context for the specified dates column.,FIRSTDATE(<dates>)
FIRSTNONBLANK,Time Intelligence,"Returns the first value of the column, column, filtered by the current context, where expression is not blank.",
LASTDATE,Time Intelligence,Returns the last date of the current context for the specified dates column.,LASTDATE(<dates>)
LASTNONBLANK,Time Intelligence,"Returns the last value of the column, column, filtered by the current context, where expression is not blank.",
NEXTDAY,Time Intelligence,"Returns a table that contains a column of all dates of the next day, depending on the first date specified in the column of current context dates.",NEXTDAY(<dates>)
NEXTMONTH,Time Intelligence,"Returns a table that contains a column of all dates of the following month, depending on the first date of the column of dates of the current context.",NEXTMONTH(<dates>)
NEXTQUARTER,Time Intelligence,"Returns a table that contains a column of all dates of the following quarter, depending on the first date of the current context dates column.",NEXTQUARTER(<dates>)
NEXTYEAR,Time Intelligence,"Returns a table that contains a column of all dates of the following year, depending on the first date of the current context dates column.","NEXTYEAR(<dates>[,<year_end_date>])"
OPENINGBALANCEMONTH,Time Intelligence,Evaluate Expression on the first date of the month of the current context.,"OPENINGBALANCEMONTH(<expression>,<dates>[,<filter>])"
OPENINGBALANCEQUARTER,Time Intelligence,Evaluate Expression on the first date of the quarter of the current context.,"OPENINGBALANCEQUARTER(<expression>,<dates>[,<filter>])"
OPENINGBALANCEYEAR,Time Intelligence,Evaluate Expression on the first date of the year in the current context.,"OPENINGBALANCEYEAR(<expression>,<dates>[,<filter>][,<year_end_date>])"
PARALLELPERIOD,Time Intelligence,"Returns a table that contains a column of dates that represents a parallel period to the dates of the specified dates column, in the current context, with the displaced dates a number of intervals forward or backward over time.","PARALLELPERIOD(<dates>,<number_of_intervals>,<interval>)"
PREVIOUSDAY,Time Intelligence,"Returns a table that contains a column of all dates that represent the day before the first date of the dates column, in the current context.",PREVIOUSDAY(<dates>)
PREVIOUSMONTH,Time Intelligence,"Returns a table that contains a column of all dates of the previous month, depending on the first date of the column of dates of the current context.",PREVIOUSMONTH(<Dates>)
PREVIOUSQUARTER,Time Intelligence,"Returns a table that contains a column of all dates of the previous quarter, depending on the first date of the current context dates column.",PREVIOUSQUARTER(<dates>)
PREVIOUSYEAR,Time Intelligence,"Returns a table that contains a column of all dates of the previous year, depending on the last date of the current context dates column.","PREVIOUSYEAR(<dates>[,<year_end_date>])"
SAMEPERIODLASTYEAR,Time Intelligence,"Returns a table that contains a column of displaced dates a year ago in time from the dates of the specified dates column, in the current context.",SAMEPERIODLASTYEAR(<dates>)
STARTOFMONTH,Time Intelligence,Returns the first date of the month of the current context for the specified dates column.,STARTOFMONTH(<dates>)
STARTOFQUARTER,Time Intelligence,Returns the first date of the quarter of the current context for the specified dates column.,STARTOFQUARTER(<dates>)
STARTOFYEAR,Time Intelligence,Returns the first date of the current context for the specified dates column.,STARTOFYEAR(<dates>)
TOTALMTD,Time Intelligence,Evaluate the expression value of the month to date in the current context.,"TOTALMTD(<expression>,<dates>[,<filter>])"
TOTALQTD,Time Intelligence,Evaluate the expression value of the trimester dates to date in the current context.,"TOTALQTD(<expression>,<dates>[,<filter>])"
TOTALYTD,Time Intelligence,Evaluate the value of Year-To-Date of Expression in the current context.,"TOTALYTD(<expression>,<dates>[,<filter>][,<year_end_date>])"
